occupation_code,area_code,area_name,occupation_name,year,mean_wage,emp_count,occupation.factor
151211,10420,"Akron, OH",Computer Systems Analysts,2019,85360,1440,7
151211,15940,"Canton-Massillon, OH",Computer Systems Analysts,2019,69990,360,7
151211,17140,"Cincinnati, OH-KY-IN",Computer Systems Analysts,2019,95020,5290,7
151211,17460,"Cleveland-Elyria, OH",Computer Systems Analysts,2019,84310,7010,7
151211,18140,"Columbus, OH",Computer Systems Analysts,2019,90840,7870,7
151211,19380,"Dayton, OH",Computer Systems Analysts,2019,86930,2360,7
151211,31900,"Mansfield, OH",Computer Systems Analysts,2019,75500,70,7
151211,44220,"Springfield, OH",Computer Systems Analysts,2019,86880,290,7
151211,45780,"Toledo, OH",Computer Systems Analysts,2019,79550,520,7
151211,49660,"Youngstown-Warren-Boardman, OH-PA",Computer Systems Analysts,2019,78510,290,7
151211,3900001,West Northwestern Ohio nonmetropolitan area,Computer Systems Analysts,2019,89280,500,7
151211,3900002,North Northeastern Ohio nonmetropolitan area,Computer Systems Analysts,2019,69340,190,7
151211,3900003,Eastern Ohio nonmetropolitan area,Computer Systems Analysts,2019,76590,90,7
151211,3900004,Southern Ohio nonmetropolitan area,Computer Systems Analysts,2019,73810,190,7
151212,10420,"Akron, OH",Information Security Analysts,2019,82970,180,11
151212,17140,"Cincinnati, OH-KY-IN",Information Security Analysts,2019,94760,960,11
151212,17460,"Cleveland-Elyria, OH",Information Security Analysts,2019,97800,990,11
151212,18140,"Columbus, OH",Information Security Analysts,2019,99260,1390,11
151212,19380,"Dayton, OH",Information Security Analysts,2019,92660,290,11
151212,45780,"Toledo, OH",Information Security Analysts,2019,78290,40,11
151212,49660,"Youngstown-Warren-Boardman, OH-PA",Information Security Analysts,2019,89050,70,11
151212,3900001,West Northwestern Ohio nonmetropolitan area,Information Security Analysts,2019,103420,30,11
151221,17460,"Cleveland-Elyria, OH",Computer and Information Research Scientists,2019,107390,50,2
151221,19380,"Dayton, OH",Computer and Information Research Scientists,2019,120240,200,2
151231,10420,"Akron, OH",Computer Network Support Specialists,2019,65200,580,4
151231,15940,"Canton-Massillon, OH",Computer Network Support Specialists,2019,53540,130,4
151231,17140,"Cincinnati, OH-KY-IN",Computer Network Support Specialists,2019,61290,1520,4
151231,17460,"Cleveland-Elyria, OH",Computer Network Support Specialists,2019,59020,1570,4
151231,18140,"Columbus, OH",Computer Network Support Specialists,2019,71040,1700,4
151231,19380,"Dayton, OH",Computer Network Support Specialists,2019,62620,440,4
151231,30620,"Lima, OH",Computer Network Support Specialists,2019,58490,40,4
151231,31900,"Mansfield, OH",Computer Network Support Specialists,2019,69890,120,4
151231,44220,"Springfield, OH",Computer Network Support Specialists,2019,52550,30,4
151231,45780,"Toledo, OH",Computer Network Support Specialists,2019,61890,440,4
151231,49660,"Youngstown-Warren-Boardman, OH-PA",Computer Network Support Specialists,2019,49470,240,4
151231,3900001,West Northwestern Ohio nonmetropolitan area,Computer Network Support Specialists,2019,62790,260,4
151231,3900002,North Northeastern Ohio nonmetropolitan area,Computer Network Support Specialists,2019,54170,290,4
151231,3900003,Eastern Ohio nonmetropolitan area,Computer Network Support Specialists,2019,58800,100,4
151231,3900004,Southern Ohio nonmetropolitan area,Computer Network Support Specialists,2019,62220,160,4
151232,10420,"Akron, OH",Computer User Support Specialists,2019,50290,1450,8
151232,15940,"Canton-Massillon, OH",Computer User Support Specialists,2019,45160,420,8
151232,17140,"Cincinnati, OH-KY-IN",Computer User Support Specialists,2019,51820,5380,8
151232,17460,"Cleveland-Elyria, OH",Computer User Support Specialists,2019,50340,4170,8
151232,18140,"Columbus, OH",Computer User Support Specialists,2019,55680,5720,8
151232,19380,"Dayton, OH",Computer User Support Specialists,2019,51850,1800,8
151232,30620,"Lima, OH",Computer User Support Specialists,2019,39630,140,8
151232,31900,"Mansfield, OH",Computer User Support Specialists,2019,44200,110,8
151232,45780,"Toledo, OH",Computer User Support Specialists,2019,47220,700,8
151232,49660,"Youngstown-Warren-Boardman, OH-PA",Computer User Support Specialists,2019,45500,470,8
151232,3900001,West Northwestern Ohio nonmetropolitan area,Computer User Support Specialists,2019,44260,530,8
151232,3900002,North Northeastern Ohio nonmetropolitan area,Computer User Support Specialists,2019,42250,630,8
151232,3900003,Eastern Ohio nonmetropolitan area,Computer User Support Specialists,2019,45600,300,8
151232,3900004,Southern Ohio nonmetropolitan area,Computer User Support Specialists,2019,44550,340,8
151241,10420,"Akron, OH",Computer Network Architects,2019,93360,200,3
151241,15940,"Canton-Massillon, OH",Computer Network Architects,2019,87400,70,3
151241,17140,"Cincinnati, OH-KY-IN",Computer Network Architects,2019,101340,920,3
151241,17460,"Cleveland-Elyria, OH",Computer Network Architects,2019,91850,960,3
151241,18140,"Columbus, OH",Computer Network Architects,2019,107870,1620,3
151241,19380,"Dayton, OH",Computer Network Architects,2019,98340,310,3
151241,45780,"Toledo, OH",Computer Network Architects,2019,84000,140,3
151241,49660,"Youngstown-Warren-Boardman, OH-PA",Computer Network Architects,2019,106680,120,3
151241,3900002,North Northeastern Ohio nonmetropolitan area,Computer Network Architects,2019,89700,40,3
